% Model,DEP_parallel_lin_force_1.mph,,,
% Version,COMSOL 5.4.0.295,,,
% Date,"Oct 25 2020, 22:03",,,
% Table,"xsweep_ro=10u,zo=25u - Surface Integration 1 (ec.unTeavx, ec.unTeavy, ec.unTeavz)",,,
% xo (um),freq (kHz),Tx (pN),Ty (pN),Tz (pN)
-150,20,0.0367298997,1.48145238142768E-06,-0.0443779913
-140,20,0.0267377627,-2.15715312605292E-05,-0.0364056158
-130,20,0.0374498784,0.000013599,-0.0029801053
-120,20,0.1027982836,1.08237741172084E-05,0.01291147
-110,20,0.2170572616,1.35073181933443E-05,-0.0455985808
-100,20,0.281730197,-0.0001062853,-0.1662477558
-90,20,0.2410327292,8.39626676000446E-05,-0.1768957675
-80,20,0.3143447469,0.0004300474,-0.0091157626
-75,20,0.4984765412,-0.0001070353,0.0594546333
-70,20,0.8246792727,-0.0001353264,0.0315442336
-65,20,1.3051293726,-0.0001095167,-0.1930157892
-60,20,1.8906517506,0.0001351408,-0.7254419595
-55,20,2.457920895,0.0002954161,-1.6343597208
-50,20,2.8407687532,0.0009892868,-2.8751242169
-45,20,2.9118004206,6.85402931230594E-05,-4.277663348
-40,20,2.6807043274,-0.0004821899,-5.6102142973
-35,20,2.3282775492,0.0023819255,-6.7648809882
-30,20,2.0550241751,-0.0033314216,-7.8611043352
-25,20,1.9305020636,0.0018309413,-9.1533312969
-20,20,1.8516772718,0.0027218855,-10.8354482647
-15,20,1.6248892616,-0.00113741,-12.8474356217
-10,20,1.0602861874,0.0020817002,-14.8395489419
-5,20,0.1719145649,-0.0043760021,-16.1825177553
5,20,-0.1719145649,-0.0043760021,-16.1825177553
10,20,-1.0602861874,0.0020817002,-14.8395489419
15,20,-1.6248892616,-0.00113741,-12.8474356217
20,20,-1.8516772718,0.0027218855,-10.8354482647
25,20,-1.9305020636,0.0018309413,-9.1533312969
30,20,-2.0550241751,-0.0033314216,-7.8611043352
35,20,-2.3282775492,0.0023819255,-6.7648809882
40,20,-2.6807043274,-0.0004821899,-5.6102142973
45,20,-2.9118004206,6.85402931230594E-05,-4.277663348
50,20,-2.8407687532,0.0009892868,-2.8751242169
55,20,-2.457920895,0.0002954161,-1.6343597208
60,20,-1.8906517506,0.0001351408,-0.7254419595
65,20,-1.3051293726,-0.0001095167,-0.1930157892
70,20,-0.8246792727,-0.0001353264,0.0315442336
75,20,-0.4984765412,-0.0001070353,0.0594546333
80,20,-0.3143447469,0.0004300474,-0.0091157626
90,20,-0.2410327292,8.39626676000446E-05,-0.1768957675
100,20,-0.281730197,-0.0001062853,-0.1662477558
110,20,-0.2170572616,1.35073181933443E-05,-0.0455985808
120,20,-0.1027982836,1.08237741172084E-05,0.01291147
130,20,-0.0374498784,0.000013599,-0.0029801053
140,20,-0.0267377627,-2.15715312605292E-05,-0.0364056158
150,20,-0.0367298997,1.48145238142768E-06,-0.0443779913
